PlayerId,Date,Field.Position,Test.Type,Weight..kg.,Trial,Countermovement.Depth..cm.,Flight.Time..s.,Jump.Height..Imp.Mom..in.Inches,Concentric.Mean.Force..N.,Concentric.Mean.Force..Left...N.,Concentric.Mean.Force..Right...N.,Concentric.Mean.Force..Asym...N.,Eccentric.Mean.Force..N.,Eccentric.Mean.Force..Left...N.,Eccentric.Mean.Force..Right...N.,Eccentric.Mean.Force..Asym...N.,Eccentric.Mean.Power..W.,Concentric.Mean.Power..W.,Mean.Takeoff.Velocity..m.s.,Peak.Power..W.,Concentric.Peak.Velocity..m.s.,Contraction.Time..s.,Eccentric.Duration..s.,Concentric.Duration..s.,Braking.Phase.Duration,Force.at.Peak.Power..N.,Force.at.Peak.Power..Left...N.,Force.at.Peak.Power..Right...N.,Force.at.Peak.Power..Asym...N.,Concentric.Peak.Force..N.,Concentric.Peak.Force..Left...N.,Concentric.Peak.Force..Right...N.,Concentric.Peak.Force..Asym...N.,Eccentric.Peak.Force..N.,Eccentric.Peak.Force..Left...N.,Eccentric.Peak.Force..Right...N.,Eccentric.Peak.Force..Asym...N.,RSI.Modified..m.s.,Velocity.at.Peak.Power..m.s.,Eccentric.Braking.Impulse,Eccentric.Braking.Impulse..Left.,Eccentric.Braking.Impulse..Right.,Eccentric.Braking.Impulse..Asym.,Concentric.Impulse..Ns.,Concentric.Impulse..Left...Ns.,Concentric.Impulse..Right...Ns.,Concentric.Impulse..Asym...Ns.
104,9/5/2023,Catcher,CMJ,,3,-32.489,0.608,14.379,1915.197,957.864,957.333,-0.1,925.028,473.37,451.658,-4.587,712.819,2891.352,1.71,4718.974,2.79,0.67,0.418,0.252,0.256,1884.756,966.289,918.467,-4.949,2572.756,1263.289,1309.467,3.526,2586.756,1274.289,1314.467,3.057,67.634,2.504,75.503,160.666,150.749,-6.173,251.675,242.056,241.845,-0.087
105,9/5/2023,Pitcher,CMJ,100.4,1,-42.146,0.602,17.596,1894.341,938.484,955.857,1.8,987.706,500.736,486.97,-2.749,829.657,2964.918,1.65,5916.75,3.061,0.822,0.498,0.324,0.322,2139.126,1064.564,1074.562,0.93,2203.126,1092.564,1111.562,1.709,2141.126,1048.564,1093.562,4.115,54.045,2.766,92.955,201.312,208.554,3.473,296.523,304.892,310.51,1.809
105,9/5/2023,Pitcher,CMJ,,2,-37.15,0.616,17.676,1942.248,936.776,1005.473,6.8,984.975,501.555,483.419,-3.616,816.156,3104.476,1.725,6099.322,3.111,0.756,0.446,0.31,0.292,2157.126,1058.564,1098.562,3.641,2251.126,1116.564,1171.562,4.694,2207.126,1042.564,1164.562,10.476,61.528,2.828,95.934,190.661,192.658,1.037,298.674,291.241,312.533,6.813
105,9/5/2023,Pitcher,CMJ,,3,-43.479,0.636,17.049,2006.126,982.235,1023.891,4.1,988.27,483.306,504.965,4.289,906.689,3152.844,1.699,5868.503,3.024,0.754,0.47,0.284,0.31,2164.126,1054.564,1109.562,4.957,2331.126,1140.564,1190.562,4.2,2336.126,1140.564,1216.562,6.247,65.762,2.712,97.537,195.021,207.616,6.067,291.891,279.794,291.609,4.051
106,9/5/2023,Pitcher,CMJ,87.8,1,-39.613,0.634,18.7,1923.222,992.369,930.853,-6.2,865.966,471.682,394.284,-16.409,719.275,3226.385,1.876,5697.899,3.172,0.722,0.472,0.25,0.254,1981.127,1018.552,962.575,-5.496,2568.127,1299.552,1268.575,-2.384,2612.127,1337.552,1279.575,-4.335,68.245,2.876,88.276,164.694,142.157,-13.684,266.941,248.758,233.317,-6.207
106,9/5/2023,Pitcher,CMJ,,2,-40.356,0.632,18.127,1843.485,974.529,868.955,-10.8,866.139,459.785,406.354,-11.621,697.495,3100.351,1.896,5488.912,3.157,0.762,0.496,0.266,0.258,1898.127,974.552,923.575,-5.231,2553.127,1365.552,1187.575,-13.033,2597.127,1406.552,1195.575,-15,64.255,2.892,89.131,170.537,140.611,-17.548,262.58,259.79,231.692,-10.816
106,9/5/2023,Pitcher,CMJ,,3,-39.225,0.626,18.066,1895.78,956.363,939.417,-1.8,867.33,476.497,390.833,-17.978,763.864,3157.102,1.874,5511.481,3.128,0.692,0.44,0.252,0.228,1943.127,971.552,971.575,0.002,2655.127,1375.552,1279.575,-6.977,2712.127,1446.552,1283.575,-11.267,69.418,2.836,105.863,171.398,130.667,-23.764,262.023,241.554,237.324,-1.751
107,9/5/2023,Pitcher,CMJ,91.5,1,-35.236,0.592,16.035,1940.372,938.039,1002.333,6.4,898.18,418.329,479.85,12.821,690.437,3039.133,1.768,5069.575,2.931,0.704,0.456,0.248,0.288,1896.524,929.831,966.693,3.813,2573.524,1248.831,1324.693,5.727,2572.524,1248.831,1323.693,5.656,61.024,2.673,62.076,149.985,170.544,12.054,259.947,233.253,249.251,6.418
107,9/5/2023,Pitcher,CMJ,,2,-40.71,0.58,15.448,1796.729,902.705,894.024,-1,898.96,430.517,468.443,8.096,736.569,2831.498,1.783,4721.303,2.907,0.776,0.494,0.282,0.3,1785.524,886.831,898.693,1.32,2511.524,1268.831,1242.693,-2.06,2511.524,1268.831,1242.693,-2.06,53.14,2.644,74.661,164.31,179.573,8.499,254.685,255.072,252.681,-0.937
107,9/5/2023,Pitcher,CMJ,,3,-44.296,0.59,15.323,1771.731,885.211,886.521,0.1,900.193,442.049,458.145,3.513,685.343,2787.058,1.773,4554.828,2.875,0.866,0.578,0.288,0.32,1737.524,859.831,877.693,2.035,2525.524,1276.831,1248.693,-2.204,2525.524,1278.831,1248.693,-2.357,49.274,2.621,76.055,177.844,185.381,4.066,252.822,255.414,255.861,0.174
108,9/5/2023,Pitcher,CMJ,84.8,1,-37.93,0.584,35.813,1589.27,798.016,791.254,-0.8,832.68,400.504,432.176,7.328,500.615,2394.548,1.609,4630.12,2.928,0.94,0.628,0.312,0.426,1781.524,869.831,911.693,4.592,1842.524,900.831,942.693,4.441,1608.524,877.831,730.693,-16.762,44.476,2.599,44.218,197.592,200.847,1.621,238.001,249.703,247.727,-0.791
108,9/5/2023,Pitcher,CMJ,,2,-60.456,0.568,15.328,1556.253,746.801,809.452,7.7,832.758,423.006,409.752,-3.133,523.972,2374.41,1.662,4519.105,2.917,0.962,0.64,0.322,0.374,1724.524,834.831,889.693,6.166,1917.524,991.831,932.693,-5.963,1913.524,991.831,921.693,-7.072,41.11,2.62,57.526,187.433,181.076,-3.391,234.564,240.981,261.328,7.786
108,9/5/2023,Pitcher,CMJ,,3,-43.969,0.588,15.392,1559.586,776.202,783.384,0.9,831.633,406.857,424.776,4.218,582.183,2361.575,1.642,4419.327,2.898,0.948,0.626,0.322,0.386,1685.524,811.831,873.693,7.08,1873.524,976.831,912.693,-6.566,1851.524,962.831,888.693,-7.7,44.707,2.622,61.97,196.206,186.726,-4.832,235.717,250.544,252.918,0.939
109,9/5/2023,Pitcher,CMJ,100,1,-34.269,0.602,16.13,2084.625,1025.374,1059.251,3.2,982.124,491.204,490.919,-0.058,792.293,3272.956,1.761,5528.236,2.956,0.678,0.422,0.256,0.274,2102.524,1023.831,1078.693,5.086,2657.524,1352.831,1304.693,-3.558,2665.524,1367.831,1305.693,-4.543,65.523,2.629,71.892,167.604,172.883,3.054,284.23,263.211,271.969,3.22
109,9/5/2023,Pitcher,CMJ,,2,-37.325,0.596,15.512,2059.478,1022.211,1037.267,1.5,984.994,476.479,508.515,6.3,858.892,3211.957,1.76,5241.957,2.899,0.68,0.424,0.256,0.26,2008.524,992.831,1015.693,2.251,2756.524,1380.831,1375.693,-0.372,2817.524,1415.831,1401.693,-0.999,64.035,2.61,89.136,165.75,178.257,7.016,277.631,262.351,266.23,1.457
109,9/5/2023,Pitcher,CMJ,,3,-38.143,0.59,14.974,2045.059,1007.374,1037.685,2.9,982.367,473.6,508.767,6.912,865.527,3123.735,1.723,5100.78,2.844,0.686,0.43,0.256,0.266,2002.524,997.831,1004.693,0.683,2776.524,1365.831,1410.693,3.18,2817.524,1387.831,1430.693,2.996,62.203,2.547,87.273,164.917,183.108,9.935,273.885,258.537,266.298,2.915
110,9/5/2023,Out-field,CMJ,88.3,1,-49.999,0.648,17.295,1977.191,957.985,1019.206,6,867.795,437.651,430.144,-1.715,751.48,3107.629,1.725,5645.093,3.022,0.806,0.574,0.232,0.334,2120.524,1036.831,1083.693,4.324,2382.524,1167.831,1214.693,3.858,2469.524,1221.831,1247.693,2.073,63.862,2.662,64.021,182.106,171.069,-6.06,259.434,223.017,237.267,6.006
110,9/5/2023,Out-field,CMJ,,2,-47.849,0.64,18.523,1910.72,951.863,958.857,0.7,871.764,421.659,450.105,6.32,812.429,3180.181,1.846,5465.452,3.133,0.762,0.508,0.254,0.27,1928.524,943.831,984.693,4.15,2531.524,1240.831,1290.693,3.863,2586.524,1262.831,1327.693,4.885,65.892,2.834,112.939,167.207,179.479,6.837,266.741,242.439,244.197,0.72
110,9/5/2023,Out-field,CMJ,,3,-47.07,0.642,17.734,1909.136,942.324,966.812,2.5,869.381,404.706,464.674,12.905,771.796,3122.968,1.832,5305.455,3.072,0.776,0.526,0.25,0.308,1922.524,912.831,1009.693,9.593,2534.524,1305.831,1228.693,-5.907,2586.524,1315.831,1294.693,-1.606,65.109,2.76,82.434,163.271,185.808,12.129,262.119,236.182,242.37,2.553
111,9/5/2023,Pitcher,CMJ,98.4,1,-27.623,0.542,13.544,1969.636,977.063,992.573,1.6,967.061,424.97,542.091,21.605,339.299,2673.991,1.425,5364.659,2.702,1.036,0.784,0.252,0.576,2357.636,1171.527,1186.109,1.229,2515.636,1258.527,1257.109,-0.113,1824.636,864.527,960.109,9.955,34.759,2.275,22.89,253.01,325.932,22.373,255.21,247.33,251.152,1.522
111,9/5/2023,Pitcher,CMJ,,2,-6.256,0.558,16.919,2031.793,987.99,1043.803,5.3,966.91,438.63,528.279,16.97,135.408,3072.847,1.59,6080.087,3.006,0.71,0.444,0.266,0.156,2285.636,1131.527,1154.109,1.957,2506.636,1242.527,1268.109,2.017,1806.636,839.527,967.109,13.192,53.758,2.66,22.288,75.68,97.205,22.144,285.932,263.947,278.772,5.318
112,9/5/2023,In-field,CMJ,87,1,-37.251,0.658,19.272,1896.19,951.412,944.778,-0.7,853.747,396.738,457.009,13.188,567.346,3238.038,1.925,5352.392,3.201,0.816,0.558,0.258,0.322,1872.636,944.527,928.109,-1.738,2420.636,1234.527,1189.109,-3.679,2412.636,1224.527,1188.109,-2.974,65.042,2.858,55.798,153.406,177.021,13.34,270.54,246.115,244.469,-0.669
112,9/5/2023,In-field,CMJ,,2,-37.584,0.65,19.206,1903.078,940.295,962.783,2.3,853.163,394,459.163,14.192,512.076,3250.996,1.932,5371.106,3.207,0.88,0.624,0.256,0.326,1865.636,928.527,937.109,0.916,2355.636,1152.527,1215.109,5.15,2350.636,1152.527,1198.109,3.804,58.854,2.879,57.862,145.558,190.344,23.529,270.32,241.43,247.229,2.346
112,9/5/2023,In-field,CMJ,,3,-36.648,0.662,20.08,1934.894,954.426,980.468,2.7,854.366,400.346,454.02,11.822,659.439,3398.17,2.004,5481.408,3.274,0.726,0.472,0.254,0.29,1869.636,948.527,921.109,-2.891,2601.636,1257.527,1348.109,6.719,2601.636,1270.527,1344.109,5.474,73.996,2.932,62.402,141.856,167.883,15.503,276.099,243.046,249.686,2.659
113,9/5/2023,In-field,CMJ,85.1,1,-59.597,0.634,15.1,1924.365,975.266,949.099,-2.7,836.541,397.484,439.057,9.469,562.663,2833.944,1.616,5214.759,2.839,1.094,0.882,0.212,0.342,2122.636,1081.527,1041.109,-3.737,2291.636,1154.527,1142.109,-1.076,2040.636,992.527,1048.109,5.303,45.039,2.457,94.069,174.674,204.809,14.714,232.834,207.684,202.074,-2.701
113,9/5/2023,In-field,CMJ,,2,-14.491,0.616,21.783,1760.126,846.673,913.453,7.3,839.915,391.679,448.236,12.618,307.086,3092.832,1.885,6315.302,3.438,0.692,0.392,0.3,0.356,2061.636,976.527,1085.109,10.007,2153.636,1047.527,1107.109,5.382,1899.636,853.527,1046.109,18.409,67.218,3.063,7.754,143.334,161.519,11.259,279.278,254.835,274.807,7.267
113,9/5/2023,In-field,CMJ,,3,-34.273,0.656,20.456,1921.276,989.983,931.293,-5.9,836.378,407.126,429.252,5.155,409.788,3240.991,1.818,6043.988,3.289,0.944,0.696,0.248,0.406,2094.636,1049.527,1045.109,-0.421,2275.636,1157.527,1120.109,-3.233,1907.636,1020.527,887.109,-13.073,55.881,2.885,44.735,180.811,202.749,10.82,271.438,246.478,231.928,-5.903
114,9/5/2023,Out-field,CMJ,90,1,-38.132,0.68,20.862,2312.165,1160.194,1151.972,-0.7,886.641,420.899,465.742,9.628,812.988,4000.221,1.949,6589.908,3.295,0.614,0.412,0.202,0.292,2315.636,1181.527,1134.109,-4.013,2871.636,1415.527,1456.109,2.787,2867.636,1412.527,1459.109,3.192,92.317,2.846,62.098,157.088,162.758,3.484,290.523,235.279,233.548,-0.736
114,9/5/2023,Out-field,CMJ,,2,-38.703,0.682,22.109,2236.718,1137.9,1098.818,-3.4,891.809,451.585,440.224,-2.516,821.548,4033.782,2.032,6440.106,3.392,0.632,0.414,0.218,0.31,2132.636,1088.527,1044.109,-4.081,2804.636,1413.527,1394.109,-1.374,2805.636,1409.527,1403.109,-0.455,90.216,3.02,54.223,164.232,163.627,-0.369,296.842,248.924,240.346,-3.446
114,9/5/2023,Out-field,CMJ,,3,-41.995,0.664,20.177,2130.514,1128.188,1002.326,-11.2,884.477,399.195,485.282,17.739,842.48,3623.134,1.89,6175.378,3.25,0.666,0.438,0.228,0.316,2146.636,1117.527,1029.109,-7.912,2534.636,1332.527,1204.109,-9.637,2543.636,1331.527,1217.109,-8.593,81.151,2.877,67.22,154.382,191.77,19.497,286.23,258.149,229.336,-11.162
115,9/5/2023,Pitcher,CMJ,96.8,1,-46.908,0.656,17.67,1732.396,842.511,889.885,5.3,950.505,475.464,475.041,-0.089,562.135,2677.064,1.602,5752.78,3.098,1.154,0.79,0.364,0.488,2070.636,1018.527,1052.109,3.192,2145.636,1057.527,1088.109,2.811,1768.636,897.527,871.109,-2.943,45.712,2.778,65.517,257.82,270.851,4.811,286.819,307.473,324.814,5.339
115,9/5/2023,Pitcher,CMJ,,2,-48.657,0.65,17.285,1737.203,863.955,873.248,1.1,951.217,504.349,446.868,-11.397,654.133,2732.535,1.668,5482.837,3.063,1.062,0.704,0.358,0.448,2000.636,998.527,1002.109,0.357,2080.636,1033.527,1048.109,1.391,2047.636,1006.527,1043.109,3.507,48.768,2.741,61.897,243.407,243.681,0.112,283.575,310.009,313.34,1.063
115,9/5/2023,Pitcher,CMJ,,3,-52.281,0.652,16.454,1664.847,814.831,850.016,4.1,949.723,492.202,457.521,-7.046,672.351,2569.247,1.637,5193.827,2.999,1.122,0.736,0.386,0.448,1871.636,934.527,937.109,0.275,2010.636,965.527,1058.109,8.75,1980.636,942.527,1039.109,9.295,46.444,2.775,82.196,254.127,253.26,-0.341,277.631,315.216,328.762,4.12
116,9/5/2023,In-field,CMJ,104.7,1,-41.538,0.588,15.399,2016.581,1035.609,980.972,-5.3,1032.866,531.97,500.896,-5.841,907.344,3122.207,1.712,5316.929,2.882,0.758,0.468,0.29,0.306,1997.636,1010.527,987.109,-2.317,2650.636,1387.527,1263.109,-8.967,2659.636,1388.527,1294.109,-6.8,55.913,2.662,86.938,206.384,194.651,-5.685,288.507,300.993,285.189,-5.251
116,9/5/2023,In-field,CMJ,,2,-39.873,0.582,15.357,2033.491,1082.465,951.026,-12.1,1026.722,517.741,508.982,-1.692,930.215,3126.087,1.709,5503.23,2.885,0.726,0.438,0.288,0.28,2105.636,1060.527,1045.109,-1.454,2860.636,1505.527,1355.109,-9.991,2890.636,1509.527,1389.109,-7.977,57.193,2.614,91.309,196.498,182.22,-7.266,291.221,312.38,274.462,-12.138
116,9/5/2023,In-field,CMJ,,3,-43.746,0.582,15.201,2013.173,1029.779,983.395,-4.5,1027.707,530.514,497.194,-6.281,1002.338,3129.804,1.744,5344.145,2.885,0.738,0.446,0.292,0.298,2016.636,1040.527,976.109,-6.191,2859.636,1434.527,1425.109,-0.657,2872.636,1442.527,1431.109,-0.792,56.263,2.65,90.694,204.845,191.734,-6.4,289.306,301.325,287.708,-4.519
117,9/5/2023,In-field,CMJ,87.4,1,-37.29,0.678,20.441,1998.457,987.007,1011.45,2.4,857.013,400.052,456.961,12.454,562.662,3401.645,1.871,5875.475,3.264,0.81,0.566,0.244,0.28,1997.636,987.527,1010.109,2.236,2322.636,1159.527,1176.109,1.41,2252.636,1099.527,1153.109,4.647,69.567,2.941,80.265,147.986,172.24,14.082,280.243,241.723,247.63,2.385
117,9/5/2023,In-field,CMJ,,2,-38.254,0.666,20.247,1913.888,952.092,961.796,1,861.948,387.95,473.998,18.154,648.039,3280.878,1.877,5731.808,3.258,0.764,0.504,0.26,0.278,1930.636,959.527,971.109,1.193,2247.636,1121.527,1150.109,2.485,2231.636,1084.527,1151.109,5.784,71.168,2.969,89.492,146.406,181.333,19.262,276.406,248.383,250.843,0.981
